,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,question,correct,alternative,type,level_y,selected_passages,new,options
0,0,0,0,The Oberoi family is part of a hotel company that has a head office in what city?,Delhi, Mumbai ,bridge,medium,"The Oberoi family is an Indian family that is famous for its involvement in hotels, namely through The Oberoi Group. The Oberoi Group is a hotel company with its head office in Delhi.
 Founded in 1934, the company owns and/or operates 30+ luxury hotels and two river cruise ships in six countries, primarily under its Oberoi Hotels & Resorts and Trident Hotels brands.","The Oberoi family is an Indian family that is famous for its involvement in hotels, namely through The Oberoi Group. The Oberoi Group is a hotel company with its head office in Delhi.","['Delhi', ' Mumbai ']"
1,1,1,1,"Musician and satirist Allie Goertz wrote a song about the ""The Simpsons"" character Milhouse, who Matt Groening named after who?",President Richard Nixon, President Abraham Lincoln ,bridge,hard,"Allison Beth ""Allie"" Goertz (born March 2, 1991) is an American musician.
 Goertz is known for her satirical songs based on various pop culture topics.
 Her videos are posted on YouTube under the name of Cossbysweater.
 Subjects of her songs have included the film ""The Room"", the character Milhouse from the television show ""The Simpsons"", and the game Dungeons & Dragons.
 Her style has been compared to that of Bo Burnham.
 In December 2015, Goertz released a concept album based on the Adult Swim series ""Rick and Morty"", ""Sad Dance Songs"", with the album's cover emulating the animation and logo of the series.
 The album was made possible through Kickstarter.
 She is co-host of Everything's Coming Up Podcast, a Simpsons-focused podcast along with Julia Prescott. Milhouse Mussolini van Houten is a fictional character featured in the animated television series ""The Simpsons"", voiced by Pamela Hayden, and created by Matt Groening who named the character after President Richard Nixon's middle name.
 Later in the series, it is revealed that Milhouse's middle name is ""Mussolini.""","She is co-host of Everything's Coming Up Podcast, a Simpsons-focused podcast along with Julia Prescott. Milhouse Mussolini van Houten is a fictional character featured in the animated television series ""The Simpsons"", voiced by Pamela Hayden, and created by Matt Groening who named the character after President Richard Nixon's middle name.","['President Richard Nixon', ' President Abraham Lincoln ']"
2,2,2,2, What nationality was James Henry Miller's wife?,American, British ,bridge,medium,"James Henry Miller (25 January 1915 – 22 October 1989), better known by his stage name Ewan MacColl, was an English folk singer, songwriter, communist, labour activist, actor, poet, playwright and record producer. Margaret ""Peggy"" Seeger (born June 17, 1935) is an American folksinger.
 She is also well known in Britain, where she has lived for more than 30 years, and was married to the singer and songwriter Ewan MacColl until his death in 1989.","James Henry Miller (25 January 1915 – 22 October 1989), better known by his stage name Ewan MacColl, was an English folk singer, songwriter, communist, labour activist, actor, poet, playwright and record producer. Margaret ""Peggy"" Seeger (born June 17, 1935) is an American folksinger.","['American', ' British ']"
3,3,3,3,"Cadmium Chloride is slightly soluble in this chemical, it is also called what?",alcohol, Sodium Chloride ,bridge,medium,"Cadmium chloride is a white crystalline compound of cadmium and chlorine, with the formula CdCl.
 It is a hygroscopic solid that is highly soluble in water and slightly soluble in alcohol.
 Although it is considered to be ionic, it has considerable covalent character to its bonding.
 The crystal structure of cadmium chloride (described below), composed of two-dimensional layers of ions, is a reference for describing other crystal structures.
 Also known are CdCl•HO and CdCl•5HO. Ethanol, also called alcohol, ethyl alcohol, and drinking alcohol, is a compound and simple alcohol with the chemical formula C2H5OH .
 Its formula can be written also as CH3 −CH2 −OH or C2H5 −OH (an ethyl group linked to a hydroxyl group), and is often abbreviated as EtOH.
 Ethanol is a volatile, flammable, colorless liquid with a slight characteristic odor.
 It is used as a drug and is the principal type of alcohol found in alcoholic drinks.","It is a hygroscopic solid that is highly soluble in water and slightly soluble in alcohol.
Also known are CdCl•HO and CdCl•5HO. Ethanol, also called alcohol, ethyl alcohol, and drinking alcohol, is a compound and simple alcohol with the chemical formula C2H5OH .","['alcohol', ' Sodium Chloride ']"
4,4,4,4,Which genus of moth in the world's seventh-largest country contains only one species?,Crambidae, Lepidoptera ,bridge,hard,"India, officially the Republic of India (""Bhārat Gaṇarājya""), is a country in South Asia.
 It is the seventh-largest country by area, the second-most populous country (with over 1.2 billion people), and the most populous democracy in the world.
 It is bounded by the Indian Ocean on the south, the Arabian Sea on the southwest, and the Bay of Bengal on the southeast.
 It shares land borders with Pakistan to the west; China, Nepal, and Bhutan to the northeast; and Myanmar (Burma) and Bangladesh to the east.
 In the Indian Ocean, India is in the vicinity of Sri Lanka and the Maldives.
 India's Andaman and Nicobar Islands share a maritime border with Thailand and Indonesia. Indogrammodes is a genus of moths of the Crambidae family.
 It contains only one species, Indogrammodes pectinicornalis, which is found in India.",India's Andaman and Nicobar Islands share a maritime border with Thailand and Indonesia. Indogrammodes is a genus of moths of the Crambidae family.,"['Crambidae', ' Lepidoptera ']"
5,5,5,5,"Who was once considered the best kick boxer in the world, however he has been involved in a number of controversies relating to his ""unsportsmanlike conducts"" in the sport and crimes of violence outside of the ring.",Badr Hari, Floyd Mayweather Jr. ,bridge,easy,"Badr Hari (Arabic: بدر هاري‎ ‎ ; born 8 December 1984) is a Moroccan-Dutch super heavyweight kickboxer from Amsterdam, fighting out of Mike's Gym in Oostzaan.
 He is a former K-1 Heavyweight champion (2007—2008), It's Showtime Heavyweight world champion (2009-2010) and ""K-1 World Grand Prix 2009"" finalist.
 Hari has been a prominent figure in the world of kickboxing and was once considered the best kickboxer in the world, however he has been involved in a number of controversies relating to his ""unsportsmanlike conducts"" in the sport and crimes of violence outside of the ring. Global Fighting Championship (also known as GFC) was a UAE-based kickboxing and mixed martial arts (MMA) event.
 Fighters from around world on the roster include Badr Hari, Peter Aerts, Peter Graham, Dewey Cooper, Zabit Samedov.
 It was considered as one of the biggest kickboxing and MMA promotion in Middle East.
<ref name=""Emirates 24/7""> </ref>","Badr Hari (Arabic: بدر هاري‎ ‎ ; born 8 December 1984) is a Moroccan-Dutch super heavyweight kickboxer from Amsterdam, fighting out of Mike's Gym in Oostzaan.
He is a former K-1 Heavyweight champion (2007—2008), It's Showtime Heavyweight world champion (2009-2010) and ""K-1 World Grand Prix 2009"" finalist.
Fighters from around world on the roster include Badr Hari, Peter Aerts, Peter Graham, Dewey Cooper, Zabit Samedov.
It was considered as one of the biggest kickboxing and MMA promotion in Middle East.
<ref name=""Emirates 24/7""> </ref>","['Badr Hari', ' Floyd Mayweather Jr. ']"
6,6,6,6,"The Dutch-Belgian television series that ""House of Anubis"" was based on first aired in what year?",2006,2010,bridge,medium,"House of Anubis is a mystery television series developed for Nickelodeon based on the Dutch-Belgian television series ""Het Huis Anubis"".
 The series was created by Hans Bourlon and Gert Verhulst and premiered on Nickelodeon on 1 January 2011 in the United States and on 25 February 2011 in the United Kingdom.
 The series is the first series from the network to be filmed outside the United States and the first telenovela-format series for the network.
 The show aired from 1 January 2011 to 17 June 2013. Het Huis Anubis (""The House of Anubis"") is a Belgian-Dutch children's television drama created by Studio 100 and Nickelodeon, airing in the Netherlands and Flanders.
 It first aired in September 2006 and the last episode was broadcast on December 4, 2009.
 The show was a huge success in the Benelux, despite the show's low budget for the first two seasons.","House of Anubis is a mystery television series developed for Nickelodeon based on the Dutch-Belgian television series ""Het Huis Anubis"".
The show aired from 1 January 2011 to 17 June 2013. Het Huis Anubis (""The House of Anubis"") is a Belgian-Dutch children's television drama created by Studio 100 and Nickelodeon, airing in the Netherlands and Flanders.
It first aired in September 2006 and the last episode was broadcast on December 4, 2009.","['2006', '2010']"
7,7,7,7,What is the length of the track where the 2013 Liqui Moly Bathurst 12 Hour was staged?,6.213 km long, 5.5 km long ,bridge,hard,"Mount Panorama Circuit is a motor racing track located in Bathurst, New South Wales, Australia.
 It is situated on a hill with the dual official names of Mount Panorama and Wahluu and is best known as the home of the Bathurst 1000 motor race held each October, and the Bathurst 12 Hour event held each February.
 The 6.213 km long track is technically a street circuit, and is a public road, with normal speed restrictions, when no racing events are being run, and there are many residences which can only be accessed from the circuit. The 2013 Liqui Moly Bathurst 12 Hour was an endurance race for a variety of GT and touring car classes, including: GT3 cars, GT4 cars, Group 3E Series Production Cars and Dubai 24 Hour cars.
 The event, which was staged at the Mount Panorama Circuit, near Bathurst, in New South Wales, Australia on 10 February 2013, was the eleventh running of the Bathurst 12 Hour.
 The race also incorporated the opening round of the 2013 Australian GT Championship.
 The Australian GT Championship was to compete as the first hour only and cars were permitted to enter for only that hour or to cross-enter for both the first hour and continue for the endurance race.","Mount Panorama Circuit is a motor racing track located in Bathurst, New South Wales, Australia.
It is situated on a hill with the dual official names of Mount Panorama and Wahluu and is best known as the home of the Bathurst 1000 motor race held each October, and the Bathurst 12 Hour event held each February.
The 6.213 km long track is technically a street circuit, and is a public road, with normal speed restrictions, when no racing events are being run, and there are many residences which can only be accessed from the circuit. The 2013 Liqui Moly Bathurst 12 Hour was an endurance race for a variety of GT and touring car classes, including: GT3 cars, GT4 cars, Group 3E Series Production Cars and Dubai 24 Hour cars.","['6.213 km long', ' 5.5 km long ']"
8,8,8,8,"Fast Cars, Danger, Fire and Knives includes guest appearances from which hip hop record executive?",Jaime Meline, Camu Tao ,bridge,medium,"Jaime Meline (born March 2, 1975), better known by his stage name El-P (shortened from El Producto), is an American hip hop recording artist, record producer, and record executive.
 Originally a member of Company Flow, El-P has been a major driving force in alternative hip hop for more than two decades, producing for several notable rappers such as Aesop Rock, Mr. Lif, and Cage, among others. Fast Cars, Danger, Fire and Knives is an EP by American hip hop artist Aesop Rock.
 Released via the Definitive Jux label on February 22, 2005, the record is produced by Blockhead and Aesop Rock himself, with the former producing three tracks and the latter producing four, with one track produced by Rob Sonic.
 Vocals are handled by Aesop Rock, with guest appearances from Camu Tao and Metro of S.A. Smash and Definitive Jux label head El-P.
 All scratches are performed by DJ Big Wiz.","Jaime Meline (born March 2, 1975), better known by his stage name El-P (shortened from El Producto), is an American hip hop recording artist, record producer, and record executive.
Originally a member of Company Flow, El-P has been a major driving force in alternative hip hop for more than two decades, producing for several notable rappers such as Aesop Rock, Mr. Lif, and Cage, among others. Fast Cars, Danger, Fire and Knives is an EP by American hip hop artist Aesop Rock.
Vocals are handled by Aesop Rock, with guest appearances from Camu Tao and Metro of S.A. Smash and Definitive Jux label head El-P.","['Jaime Meline', ' Camu Tao ']"
9,9,9,9,"Gunmen from Laredo starred which narrator of ""Frontier""?",Walter Darwin Coy, Robert Knapp ,bridge,medium,"Gunmen from Laredo is a 1959 American western film produced and directed by Wallace MacDonald, which stars Robert Knapp, Maureen Hingert, and Walter Coy. Walter Darwin Coy (January 31, 1909 – December 11, 1974) was an American stage, radio, film, and, principally, television actor, originally from Great Falls, Montana.
 He was best known for narrating the NBC western anthology series, ""Frontier"", which aired early Sunday evenings in the 1955–1956 season.","Gunmen from Laredo is a 1959 American western film produced and directed by Wallace MacDonald, which stars Robert Knapp, Maureen Hingert, and Walter Coy. Walter Darwin Coy (January 31, 1909 – December 11, 1974) was an American stage, radio, film, and, principally, television actor, originally from Great Falls, Montana.","['Walter Darwin Coy', ' Robert Knapp ']"
