,Unnamed: 0,supports,query,answer_y,options_y,sum_supports,new
0,0,"A Christian (or ) is a person who follows or adheres to Christianity, an Abrahamic, monotheistic religion based on the life and teachings of Jesus Christ. ""Christian"" derives from the Koine Greek word ""Christós"" (), a translation of the Biblical Hebrew term ""mashiach"". Lakewood Church is a nondenominational charismatic Christian megachurch located in Houston, Texas. It is the largest congregation in the United States, averaging about 52,000 attendees per week. The 16,800-seat Lakewood Church Central Campus, home to four English-language services and two Spanish-language services per week, is located at the former Compaq Center. Joel Osteen is the senior pastor of Lakewood Church with his wife, Victoria, who serves as co-pastor. Lakewood Church is a part of the Word of Faith movement. Mexico (, modern Nahuatl ), officially the United Mexican States, is a federal republic in the southern half of North America. It is bordered to the north by the United States; to the south and west by the Pacific Ocean; to the southeast by Guatemala, Belize, and the Caribbean Sea; and to the east by the Gulf of Mexico. Covering almost two million square kilometers (over 760,000 sq mi), Mexico is the sixth largest country in the Americas by total area and the 13th largest independent nation in the world. With an estimated population of over 120 million, it is the eleventh most populous country and the most populous Spanish-speaking country in the world while being the second most populous country in Latin America. Mexico is a federation comprising 31 states and a federal district that is also its capital and most populous city. Other metropolises include Guadalajara, Monterrey, Puebla, Toluca, Tijuana and León. John Hillery Osteen ( August 21 , 1921 -- January 23 , 1999 ) was the founder and first pastor of Lakewood Church in Houston , Texas , from its beginnings in 1959 until his death in 1999 . His son Joel Osteen then succeeded him as pastor . Houston is the most populous city in Texas and the fourth-most populous city in the United States after Chicago, located in Southeast Texas near the Gulf of Mexico. With a census-estimated 2014 population of 2.239 million within an area of , it also is the largest city in the Southern United States, as well as the seat of Harris County. It is the principal city of HoustonThe WoodlandsSugar Land, which is the fifth-most populated metropolitan area in the United States of America.",What languages did John Osteen speak or write?,english,"['english', 'greek', 'koine greek', 'nahuatl', 'spanish']"," Christianity is a monotheistic religion based on the life and teachings of Jesus Christ. It is the largest religion in the world, with over 2 billion followers. Christians believe in one God and follow the teachings of Jesus Christ, who they believe is the Son of God and the savior of humanity.

Lakewood Church is a nondenominational charismatic Christian megachurch located in Houston, Texas. It is the largest congregation in the United States, with an average attendance of about 52,000 people per week. The church is led by Joel Osteen, who is the son of John Hillery Osteen, the founder and first pastor of Lakewood Church.

Mexico is a federal republic in North America, bordered by the United States, Guatemala, Belize, the Caribbean Sea, and the Pacific Ocean. It is the most populous Spanish-speaking country in the world and the second most populous country in Latin America. Mexico is a federation comprising 31 states and a federal district that is also its capital and most populous city.

John Hillery Osteen founded Lakewood Church in Houston, Texas, in 1959. He served as the first pastor until his death in 1999. His son, Joel Osteen, succeeded him as pastor and continues to lead the church today.

Houston is the most populous city in Texas and the fourth-most populous city in the United States. It is located in Southeast Texas near the Gulf of Mexico and is the seat of Harris County. Houston is the principal city of the Houston metropolitan area, which is the fifth-most populated metropolitan area in the United States.

In summary, Christianity is a monotheistic religion based on the life and teachings of Jesus Christ, with over 2 billion followers worldwide. Lakewood Church in Houston, Texas, is the largest congregation in the United States, led by Joel Osteen, the son of John Hillery Osteen, the founder and first pastor of the church. Houston is the most populous city in Texas and the fourth-most populous city in the United States, and is the principal city of the Houston metropolitan area. ",[]
1,1,"Anne Perry (born 28 October 1938 as Juliet Marion Hulme) is an English author of historical detective fiction, best known for her Thomas Pitt and William Monk series. At the age of fifteen she was convicted of participating in the murder of her friend's mother, in 1954. She changed her name after serving her five-year sentence. A protagonist is the main character in any story, such as a literary work or drama. Thomas Pitt is the protagonist in a series of detective novels by Anne Perry . Pitt is from a working - class background in Victorian London . His father was a gamekeeper on a landed estate and Pitt was educated alongside the son of the house . He was prompted to enter the police force after his father was wrongly accused of poaching game and transported to Australia . At the beginning of the series , Pitt is a police inspector , but was promoted to superintendent . Later he is removed from his job as a result of investigating the `` wrong people '' , i.e. those with sufficient influence and power , and joins the Special Branch , in which he becomes an inspector . Later he is promoted to commander as Head of Special Branch . His wife , Charlotte ( née Ellison ) , is from an upper - class family . Her sister Emily 's first husband was a viscount and her second husband is a rising politician . Charlotte frequently uses Emily 's connections to the landed gentry and aristocracy to assist Pitt in his investigations . Charlotte relies on her maid , Gracie , to take care for her children , Jemima and Daniel , when she is investigating a mystery . Charlotte 's well - intentioned interference in her husband 's investigations gives Pitt access to information which enables him to solve the case . Vespasia Cumming - Gould , the elderly aunt of Emily 's first husband , becomes a friend to both Emily and Charlotte and eases their way into society . The first novel , The Cater Street Hangman , was adapted for TV in 1998 ; it starred Eoin McCarthy and Keeley Hawes and featured Hannah Spearritt in her acting debut . Inspector William Monk is a fictional character created by the writer Anne Perry and hero of a series of books. Detective fiction is a subgenre of crime fiction and mystery fiction in which an investigator or a detectiveeither professional or amateurinvestigates a crime, often murder.",What was Thomas Pitt's role in the context of the given options?,fictional character,"['character', 'crime', 'fiction', 'fictional character', 'five', 'literary work', 'monk', 'mother', 'murder', 'name', 'october', 'protagonist', 'series', 'year']"," Anne Perry is an English author best known for her historical detective fiction series featuring Thomas Pitt and William Monk. Born Juliet Marion Hulme on October 28, 1938, Perry was convicted of murder at the age of fifteen. After serving her five-year sentence, she changed her name and began writing.

Thomas Pitt, the protagonist of Perry's series, is a police inspector from a working-class background in Victorian London. His father was a gamekeeper on a landed estate, and Pitt was educated alongside the son of the house. Pitt's father was wrongly accused of poaching game and transported to Australia, prompting Pitt to enter the police force.

At the beginning of the series, Pitt is a police inspector, but he is later promoted to superintendent. However, he is removed from his job after investigating the ""wrong people,"" i.e., those with sufficient influence and power. He joins the Special Branch, where he becomes an inspector and later a commander as Head of Special Branch.

Pitt's wife, Charlotte Ellison, is from an upper-class family. Her sister, Emily, is married to a viscount and a rising politician. Charlotte frequently uses Emily's connections to assist Pitt in his investigations. She relies on her maid, Gracie, to take care of her children, Jemima and Daniel, when Pitt is investigating a mystery.

Vespasia Cumming-Gould, the elderly aunt of Emily's first husband, becomes a friend to both Emily and Charlotte, easing their way into society. The first novel in the series, The Cater Street Hangman, was adapted for TV in 1998.

Inspector William Monk is another fictional character created by Anne Perry. He is the hero of a series of books, and like Pitt, he is a detective who investigates crimes, often murder. ",[]
2,2,"Key Center North Tower is a high-rise located in Buffalo, New York, USA. It is the eighth tallest building in Buffalo at 275 feet (85 m) and 17 stories tall. The building has a twin tower next door. The Key Center South Tower which is four stories shorter and connected by a two-story glass atrium encompassing 18,800 square feet of retail space. The complex is known as the Key Center at Fountain Plaza. Both buildings have distinctive pyramid tops that are trimmed with bright green neon lighting which is illuminated at night. In the front of the two towers is a large fountain in the summer. In the winter, it serves as an outdoor ice rink that is free to the public. Buffalo is a city in western New York state and the county seat of Erie County, on the eastern shores of Lake Erie at the head of the Niagara River. , Buffalo is New York state's 2nd-most populous city after New York City, with 258,703 residents. The metropolitan area has a population of 1.13 million. Key Center South Tower is a high - rise located in Buffalo , NY . It stands 225 feet ( 69 m ) and 13 stories tall . The building has a twin tower next door . The Key Center North Tower , which is four stories taller , and connected by a two - story glass atrium encompassing 18,800 square feet of retail space . The complex is known as the Key Center at Fountain Plaza . Both buildings have distinctive pyramid tops that are trimmed with bright green neon lighting which is illumined at night . In the front of the two towers is a large fountain and reflecting pool in the summer . In the winter , it serves as an outdoor ice rink that is free to the public .",In which administrative territorial entity is the key center south tower located?,new york,"['buffalo', 'center', 'erie', 'erie county', 'fountain', 'new york', 'north', 'south']"," The Key Center North Tower and Key Center South Tower are high-rise buildings located in Buffalo, New York. The Key Center North Tower, standing at 275 feet (85 m) and 17 stories tall, is the eighth tallest building in Buffalo. It is connected to the Key Center South Tower, which is four stories shorter and encompasses 18,800 square feet of retail space within a two-story glass atrium. Both buildings feature distinctive pyramid tops trimmed with bright green neon lighting, which illuminates at night.

In the summer, a large fountain and reflecting pool are located in front of the towers, while in the winter, the area serves as a free outdoor ice rink for the public. Buffalo, the city where these buildings are located, is the second-most populous city in New York state, with a population of 258,703 residents. The metropolitan area has a population of 1.13 million. The Key Center at Fountain Plaza complex, which includes both towers, is a prominent landmark in Buffalo. ",[]
3,3,"The National Football League (NFL) is a professional American football league consisting of 32 teams, divided equally between the National Football Conference (NFC) and the American Football Conference (AFC). The NFL is one of the four major professional sports leagues in North America, and the highest professional level of American football in the world. The NFL's 17-week regular season runs from the week after Labor Day to the week after Christmas, with each team playing 16 games and having one bye week. Following the conclusion of the regular season, six teams from each conference (four division winners and two wild card teams) advance to the playoffs, a single-elimination tournament culminating in the Super Bowl, played between the champions of the NFC and AFC. A single-elimination tournamentalso called an Olympic system tournament, a knockout (or, knock-out), single penetration, or sudden death tournamentis a type of elimination tournament where the loser of each bracket is immediately eliminated from winning the championship or first prize in the event. John Don Looney (September 2, 1916  April 5, 2015) was a professional American football end in the National Football League. He was born in Sulphur Springs, Texas. He played three seasons for the Philadelphia Eagles (1940) and the Pittsburgh Steelers (19411942). He was the first receiver in NFL history to have over 100 yards receiving in each of his first two games, a feat which was not equaled until the 2008 NFL season by another Eagles wide receiver, DeSean Jackson. At the time of his death, Looney was the second oldest living former NFL player. He was the father of NFL running back Joe Don Looney, who later died in a one-person motorcycle accident after his NFL career ended. Joe Don Looney ( October 10 , 1942 -- September 24 , 1988 ) was an American football running back in the National Football League for the New York Giants , Baltimore Colts , Detroit Lions , Washington Redskins , and the New Orleans Saints . He attended Admiral Farragut Academy in St. Petersburg , Florida and Paschal High School in Ft. Worth , Texas for high school .",How did Joe Don Looney meet his demise?,accident,"['accident', 'knockout']"," The National Football League (NFL) is a professional American football league with 32 teams, divided equally between the National Football Conference (NFC) and the American Football Conference (AFC). The NFL is one of the four major professional sports leagues in North America and the highest professional level of American football in the world. The NFL's 17-week regular season runs from the week after Labor Day to the week after Christmas, with each team playing 16 games and having one bye week. Following the conclusion of the regular season, six teams from each conference (four division winners and two wild card teams) advance to the playoffs, a single-elimination tournament culminating in the Super Bowl, played between the champions of the NFC and AFC.

John Don Looney was a professional American football end in the NFL, playing three seasons for the Philadelphia Eagles (1940) and the Pittsburgh Steelers (19411942). He was the first receiver in NFL history to have over 100 yards receiving in each of his first two games, a feat which was not equaled until the 2008 NFL season by another Eagles wide receiver, DeSean Jackson. At the time of his death, Looney was the second oldest living former NFL player. He was the father of NFL running back Joe Don Looney, who later died in a one-person motorcycle accident after his NFL career ended.

Joe Don Looney was an American football running back in the NFL for the New York Giants, Baltimore Colts, Detroit Lions, Washington Redskins, and the New Orleans Saints. He attended Admiral Farragut Academy in St. Petersburg, Florida and Paschal High School in Ft. Worth, Texas for high school. ",[]
4,4,"Professional ice hockey has existed since the early 1900s (decade). The professional game originated in the United States in 1904 and became prominent in Canada during the early 20th century before expanding back into the United States and eventually to many other countries. In addition to the United States and Canada, high-level professional hockey is present in Germany, Russia, Sweden, the Czech Republic, Finland and Switzerland; professional hockey is also played in many other countries, as diverse as Ukraine, the United Kingdom, Austria, Australia and Japan. The Louisiana IceGators is a team of the Southern Professional Hockey League who began play in the 2009 - 10 season . Like the original IceGators which played from 1995 until folding in 2005 , they are based out of Lafayette , Louisiana . The IceGators were brought back and owned by local businessman Danny Smith . In August 2010 , Smith sold the team to two local businessmen , E.C. `` Chuck '' Anselmo , Jr. and E.C. `` Chuck '' Anselmo , III. The Southern Professional Hockey League (SPHL) is a professional ice hockey league based in Huntersville, North Carolina, with teams located primarily in the southeastern United States as well as Illinois and Indiana in the midwestern United States.",What sport did the Louisiana IceGators play?,ice hockey,"['hockey', 'ice hockey']"," Professional ice hockey originated in the United States in 1904 and became prominent in Canada during the early 20th century. The sport has since expanded globally, with high-level professional hockey present in Germany, Russia, Sweden, the Czech Republic, Finland, and Switzerland. Other countries with professional hockey include Ukraine, the United Kingdom, Austria, Australia, and Japan.

The Louisiana IceGators, a team in the Southern Professional Hockey League (SPHL), began play in the 2009-10 season. The team, based in Lafayette, Louisiana, was originally founded in 1995 but folded in 2005. Local businessman Danny Smith revived the team, but in August 2010, he sold it to E.C. ""Chuck"" Anselmo, Jr., and E.C. ""Chuck"" Anselmo, III. The SPHL is a professional ice hockey league based in Huntersville, North Carolina, with teams primarily located in the southeastern United States, as well as Illinois and Indiana in the midwestern United States. ",[]
5,5,"Leersum is a town in the Dutch province of Utrecht. It is a part of the municipality of Utrechtse Heuvelrug, and lies about 7 km east of Doorn and 9 km west of Veenendaal. Maarn is a town in the Dutch province of Utrecht. It is a part of the municipality of Utrechtse Heuvelrug, and is located about 10 km east of Zeist. Amerongen is a village in the central Netherlands (Utrecht province) on the border of the Utrecht Hill Ridge. It lies about 7 km south west of Veenendaal (10.5 km by road). Doorn is a town in the municipality of Utrechtse Heuvelrug in the central Netherlands, in the province of Utrecht. On 1 January 2008 the town had 10,052 inhabitants. The Netherlands  is the main constituent country of the Kingdom of the Netherlands. It is a densely populated country located in Western Europe with three island territories in the Caribbean. The European part of the Netherlands borders Germany to the east, Belgium to the south, and the North Sea to the northwest, sharing maritime borders with Belgium, the United Kingdom, and Germany. The largest cities in the Netherlands are Amsterdam, Rotterdam, The Hague and Utrecht. Amsterdam is the country's capital, while The Hague holds the Dutch seat of government and parliament. The name ""Holland"" is used to refer informally to the whole of the country of the Netherlands. Beerschoten is a hamlet in the municipality Utrechtse Heuvelrug , in the Dutch province Utrecht . Beerschoten lies on the edge of a forest between the towns of Zeist ( to the northwest ) and Driebergen - Rijsenburg ( to the southeast ) . Just north of the hamlet lies the railway station Driebergen - Zeist . The hamlet grew around the estate Beerschoten - Willinkshof . Driebergen-Rijsenburg is a town in the municipality Utrechtse Heuvelrug in the central Netherlands, in the province of Utrecht. Utrechtse Heuvelrug is a municipality in the Netherlands, in the province of Utrecht. It was formed on 1 January 2006 by merging the former municipalities of Amerongen, Doorn, Driebergen-Rijsenburg, Leersum, and Maarn.",What is Beerschoten classified as?,village,"['1', 'capital', 'constituent country', 'country of the kingdom of the netherlands', 'hill', 'island', 'january', 'municipality', 'part', 'province', 'seat', 'seat of government', 'three', 'town', 'village']"," Leersum, Maarn, Amerongen, Doorn, and Driebergen-Rijsenburg are towns and hamlets in the Utrecht province of the Netherlands. They are part of the municipality of Utrechtse Heuvelrug, which was formed on January 1, 2006, by merging the former municipalities. Leersum is located about 7 km east of Doorn and 9 km west of Veenendaal. Maarn is about 10 km east of Zeist. Amerongen is a village on the border of the Utrecht Hill Ridge, about 7 km southwest of Veenendaal. Doorn is a town with 10,052 inhabitants as of January 1, 2008. The Netherlands is a densely populated country in Western Europe with a population of over 17 million people. The country's capital is Amsterdam, and the seat of government and parliament is in The Hague. Holland is an informal term used to refer to the whole of the Netherlands. Beerschoten is a hamlet in the municipality of Utrechtse Heuvelrug, located between Zeist and Driebergen-Rijsenburg. The hamlet grew around the estate Beerschoten - Willinkshof. ",[]
6,6,"Ricky Nelson (born Eric Hilliard Nelson, also known as Rick Nelson; May 8, 1940  December 31, 1985) was an American actor, musician and singer-songwriter. He starred alongside his family in the television series ""The Adventures of Ozzie and Harriet"" (195266) as well as co-starring alongside John Wayne and Dean Martin in Howard Hawks's western feature film ""Rio Bravo"" (1959). He placed 53 songs on the ""Billboard"" Hot 100 between 1957 and 1973 including ""Poor Little Fool"", which holds the distinction of being the first #1 song on ""Billboard"" magazine's then-newly created Hot 100 chart. He recorded 19 additional Top 10 hits and was inducted into the Rock and Roll Hall of Fame on January 21, 1987. In 1996, he was ranked #49 on TV Guide's 50 Greatest TV Stars of All Time. Hell, in many mythological, folklore and religious traditions, is a place of torment and punishment in an afterlife. It is viewed by most Abrahamic traditions as punishment. Religions with a linear divine history often depict hells as eternal destinations. Religions with a cyclic history often depict a hell as an intermediary period between incarnations. Typically these traditions locate hell in another dimension or under the Earth's surface and often include entrances to Hell from the land of the living. Other afterlife destinations include Heaven, Purgatory, Paradise, and Limbo. The afterlife (also referred to as life after death or the hereafter) is the concept of a realm, or the realm itself (whether physical or transcendental), in which an essential part of an individual's identity or consciousness continues to exist after the death of the body. According to various ideas about the afterlife, the essential aspect of the individual that lives on after death may be some partial element, or the entire soul or spirit, of an individual, which carries with it and may confer personal identity or, on the contrary, may not, as in Indian nirvana. Belief in an afterlife, which may be naturalistic or supernatural, is in contrast to the belief in oblivion after death. Gene Francis Alan Pitney (February 17, 1940  April 5, 2006) was an American singer-songwriter, musician, and sound engineer. ""Hello Mary Lou"" is a song written by U.S. singer Gene Pitney first recorded by Johnny Duncan in 1960, and later by Ricky Nelson in 1961. Hello Mary Lou : Prom Night II is a 1987 film , the second installment in the Prom Night saga . It introduced the killer ghost Mary Lou Maloney , who returned in 1989 's Prom Night III : The Last Kiss .",What was the main subject of the film 'Prom Night II' starring Mary Lou?,supernatural,"['actor', 'film', 'francis', 'mary', 'supernatural', 'television']"," Ricky Nelson (1940-1985) was an American actor, musician, and singer-songwriter. He starred in the television series ""The Adventures of Ozzie and Harriet"" (1952-1966) alongside his family and co-starred with John Wayne and Dean Martin in the western film ""Rio Bravo"" (1959). Nelson achieved significant success in music, with 53 songs reaching the Billboard Hot 100 between 1957 and 1973, including ""Poor Little Fool,"" the first #1 song on the newly created Hot 100 chart. He recorded 19 additional Top 10 hits and was inducted into the Rock and Roll Hall of Fame in 1987.

Gene Pitney (1940-2006) was an American singer-songwriter, musician, and sound engineer. He wrote the song ""Hello Mary Lou,"" which was first recorded by Johnny Duncan in 1960 and later by Ricky Nelson in 1961. The song became a hit and was featured in the 1987 film ""Hello Mary Lou: Prom Night II,"" which introduced the character of Mary Lou Maloney, a killer ghost who returned in the sequel ""Prom Night III: The Last Kiss"" (1989).

Both Ricky Nelson and Gene Pitney were influential figures in the music industry, with Nelson's success in both acting and music and Pitney's contributions as a songwriter and musician. Their careers spanned several decades and left a lasting impact on popular culture. ",[]
7,7,"Cinnamon Bay is a body of water and a beach on St. John island , within Virgin Islands National Park , in the United States Virgin Islands . The Virgin Islands National Park is a United States National Park, covering approximately 60% of the island of Saint John in the United States Virgin Islands, over 5,500 acres of adjacent ocean, plus nearly all of Hassel Island, just off the Charlotte Amalie, Saint Thomas harbor. It became the 29th U.S. national park in 1956. The Leeward Islands are a group of islands in the West Indies. In English, the term refers to the northern islands of the Lesser Antilles chain. As a group they start east of Puerto Rico and reach southward to Dominica. They are situated where the northeastern Caribbean Sea meets the western Atlantic Ocean. The more southerly part of the Lesser Antilles chain are called the Windward Islands. The Lesser Antilles (also known as the Caribbees) are a group of islands in the Caribbean Sea. Most form a long, partly volcanic island arc between the Greater Antilles to the north-west and the continent of South America. The islands form the eastern boundary of the Caribbean Sea with the Atlantic Ocean. Together, the Lesser Antilles and the Greater Antilles compose the Antilles (or the Caribbean in its narrowest definition). When combined with the Lucayan Archipelago, all three are known as the West Indies. The Caribbean (or ) is a region that consists of the Caribbean Sea, its islands (some surrounded by the Caribbean Sea and some bordering both the Caribbean Sea and the North Atlantic Ocean) and the surrounding coasts. The region is southeast of the Gulf of Mexico and the North American mainland, east of Central America, and north of South America. The United States Virgin Islands (U.S.V.I.; also called the American Virgin Islands), officially the Virgin Islands of the United States, are a group of islands in the Caribbean that are an insular area of the United States. The islands are geographically part of the Virgin Islands archipelago and are located in the Leeward Islands of the Lesser Antilles.",In which location is Cinnamon Bay situated?,saint john,"['atlantic ocean', 'caribbean', 'caribbean sea', 'lesser antilles', 'saint john', 'saint thomas']"," Cinnamon Bay is a picturesque body of water and beach located on St. John Island, within the Virgin Islands National Park in the United States Virgin Islands. The park, established in 1956, covers approximately 60% of St. John Island, over 5,500 acres of adjacent ocean, and nearly all of Hassel Island. The Leeward Islands, a group of islands in the West Indies, are situated where the northeastern Caribbean Sea meets the western Atlantic Ocean. The Lesser Antilles, also known as the Caribbees, are a group of islands in the Caribbean Sea, forming a long, partly volcanic island arc between the Greater Antilles and the continent of South America. The Caribbean region consists of the Caribbean Sea, its islands, and the surrounding coasts. The United States Virgin Islands, officially the Virgin Islands of the United States, are a group of islands in the Caribbean that are an insular area of the United States. The islands are geographically part of the Virgin Islands archipelago and are located in the Leeward Islands of the Lesser Antilles. ",[]
8,8,"Ullevi, sometimes known as Nya Ullevi (""New Ullevi""), is a multi-purpose stadium in Gothenburg, Sweden. It was built for the 1958 FIFA World Cup, but since then Ullevi has also hosted the World Allround Speed Skating Championships six times, the 1995 World Championships in Athletics and the 2006 European Athletics Championships, the UEFA Cup Winners' Cup finals in 1983 and 1990, the UEFA Euro 1992 final, the UEFA Cup final in 2004, and annually hosted the opening ceremony of the Gothia Cupthe world's largest football tournament in terms of the number of participants. IFK Göteborg has also played two UEFA Cup finals at the stadium, in 1982 and 1987, but then as ""home game"" in a home and away final. The stadium hosted several events, like football, ice hockey, boxing, racing, athletics and concerts. Idrottsföreningen Kamraterna (English: Sporting Society Comrades), usually abbreviated IFK, is a central organisation for a large number of sports clubs in Sweden. There are also eight IFK clubs in Finland but they are organised separately. It was founded 1 February 1895 and has 164 member clubs with around 100,000 members as of 2004. Idrottsföreningen Kamraterna Göteborg, commonly known as IFK Göteborg or simply Göteborg, is a Swedish professional football club based in Gothenburg. Founded on 4 October 1904, it is the only club in the Nordic countries that has won a pan-European competition, as the club won the UEFA Cup in 1982 and 1987. IFK is affiliated with Göteborgs Fotbollförbund and play all their home games at Gamla Ullevi since the start of the 2009 season. The club colours are blue and white, colours shared both with the sports societyIdrottsföreningen Kamraternawhich the club originated from, and with the home town of Gothenburg. Magnus `` Lill - Tidan '' Johansson ( born October 5 , 1964 ) is a Swedish football coach and former footballer that played for IFK Göteborg , Brann and Västra Frölunda . Gamla Ullevi is a football stadium in Gothenburg, Sweden, that opened on 5 April 2009. The stadium replaced the city's previous main football stadium, also called Gamla Ullevi, and is the home ground of GAIS, IFK Göteborg and Örgryte IS. It is also the national stadium for the Sweden women's national football team. The new stadium was built on the ground of the now-demolished old stadium. The construction of the stadium was surrounded by controversy, regarding the cost of the project, the supposedly low standard of the finished stadium, as well as the name of the stadium. Gothenburg is the second-largest city in Sweden and the fifth-largest in the Nordic countries. Situated by the Kattegat, on the west coast of Sweden, the city has a population of approximately 550,000 in the urban area and 990,000 inhabitants in the metropolitan area.",What is the place of birth of Magnus Johansson?,gothenburg,"['central', 'gothenburg', 'of', 'sweden', 'örgryte']"," Ullevi Stadium, also known as Nya Ullevi, is a versatile multi-purpose stadium located in Gothenburg, Sweden. Originally constructed for the 1958 FIFA World Cup, Ullevi has since hosted numerous significant sporting events, including the World Allround Speed Skating Championships, the 1995 World Championships in Athletics, and the 2006 European Athletics Championships. The stadium has also been the venue for the UEFA Cup Winners' Cup finals in 1983 and 1990, the UEFA Euro 1992 final, and the UEFA Cup final in 2004.

IFK Göteborg, a prominent Swedish football club, has played its home games at Ullevi since 2009. The club, founded in 1904, is the only Nordic country club to have won a pan-European competition, with victories in the UEFA Cup in 1982 and 1987. The club's colors, blue and white, are shared with the sports society Idrottsföreningen Kamraterna (IFK), from which the club originated.

Magnus Johansson, a former footballer for IFK Göteborg, Brann, and Västra Frölunda, is a notable figure in the club's history.

The new Gamla Ullevi Stadium, which opened in 2009, replaced the city's previous main football stadium. The construction of the new stadium was met with controversy due to its cost, the perceived low standard of the finished stadium, and the name of the stadium.

Gothenburg, the second-largest city in Sweden and the fifth-largest in the Nordic countries, is home to the new Ullevi Stadium. With a population of approximately 550,000 in the urban area and 990,000 inhabitants in the metropolitan area, Gothenburg is a vibrant city located on the west coast of Sweden by the Kattegat. ",[]
9,9,"William Vansittart Bowater ( 15 March 1838 -- 28 April 1907 ) was the founder of Bowater , which became one of the world 's largest producers of newspaper print . Today it had been broken up into a series of market - leading paper - based products business , including packaging business Rexam . Rexam Inc. is a British-based American-owned multinational consumer packaging company headquartered in London, United Kingdom. It is a leading manufacturer of beverage cans. It has 55 plants in over 20 countries across Asia, Europe, North America and South America. In June 2016, the final regulatory hurdle was cleared for the purchase of Rexam by the American company Ball Corporation. Bowater was a British pulp and paper company, which after post-World War II expansion, through a 30-year period of consolidation now forms the core of a number of globally leading worldwide paper products companies. Ball Corporation is an American company headquartered in Broomfield, Colorado, that is best known for its early production of glass jars, lids, and related products used for home canning. Since its founding in Buffalo, New York, in 1880, when it was known as the Wooden Jacket Can Company, the Ball company has expanded and diversified into other business ventures, including aerospace technology, and became the world's largest manufacturer of recyclable metal beverage and food containers.",What was the country of citizenship of William Vansittart Bowater?,united kingdom,"['american', 'british', 'london', 'united kingdom']"," William Vansittart Bowater (15 March 1838 – 28 April 1907) was a British entrepreneur who founded Bowater, a company that grew to become one of the world's largest producers of newspaper print. Today, Bowater has been divided into various market-leading paper-based products businesses, including Rexam, a British-based American-owned multinational consumer packaging company. Rexam, headquartered in London, is a leading manufacturer of beverage cans with 55 plants in over 20 countries across Asia, Europe, North America, and South America.

In June 2016, Rexam was acquired by the American company Ball Corporation, which is best known for its early production of glass jars, lids, and related products used for home canning. Founded in Buffalo, New York, in 1880 as the Wooden Jacket Can Company, the Ball Corporation has expanded and diversified into other business ventures, including aerospace technology, and became the world's largest manufacturer of recyclable metal beverage and food containers.

Bowater's post-World War II expansion and a 30-year period of consolidation led to the formation of a number of globally leading worldwide paper products companies. These companies continue to build on the legacy of William Vansittart Bowater and his pioneering work in the pulp and paper industry. ",[]
